제목,가사,장르
나는 당신이 좋다,"1.당신이 나를 별로라지만
나는 당신이 좋다
지금행복도 살아온날도
모두가 당신 덕이요
말도많고 탈도많은 세상속에서
나하나만 믿고 살아온당신
당신과 함께한 그날들이 나는 참 좋다
젊어서 지금까지 사랑하면서 내곁에 있어준 당신
당신은 나를 별로라지만
나는 당신이 참 좋다.

2.당신이 나를 별로라지만
나는 당신이 좋다
지금 내곁에 당신이있어 내게는 행복이라오
말도많고 탈도많은 세상속에서
나하나만 믿고 살아온당신
당신과 함께한 그날들이 나는 참 좋다
젊어서 지금까지 사랑하면서 내곁에있어준 당신
당신은나를 별로라지만
나는 당신이 참 좋다
나는 당신이 참 좋다",트로트
향수에 젖어서,"향수에 젖어서
하늘을 보면은
구름이 흘러가네
솜같은 구름입니다
라라라라 라라라라
솜같은 구름입니다
예예예예 예예예예
예예예예 예예예 예예예
옛날이 그리워서
풀피리 불면은
가슴이 뭉클해요
눈시울이 뜨겁습니다
라라라라 라라라라
눈시울이 뜨겁습니다
예예예예 예예예예
예예예예 예예예 예예예
산넘어 강건너
간다고 어디가나
내살던 고향땅은
너무나 멀리 있어요
라라라라 라라라라
너무나 멀리 있어요
예예예예 예예예예
예예예예 예예예 예예예
향수에 젖어서
하늘을 보면은
구름이 흘러가네
솜같은 구름입니다
라라라라 라라라라
솜같은 구름입니다
라라라라 라라라라
솜같은 구름입니다",트로트
내 가슴에 내리는 비,"아무도 미워하지 않았고
외로움도 주지 않았는데
오늘 내 가슴에 쏟아지는 비
누구의 눈물이
비 되어 쏟아지나
어제 나는 사랑에 젖고
오늘 나는 비에 젖네
바람 한점 옷깃을 스쳐도
상처받는 이 가슴이
오늘은 비에 젖고
외로움에 젖네
어제 나는 사랑에 젖고
오늘 나는 비에 젖네
바람 한점 옷깃을 스쳐도
상처받는 이 가슴이
오늘은 비에 젖고
외로움에 젖네",트로트
인생은 생방송,"인생은 생방송 홀로 드라마
되돌릴 수 없는 이야기

태어난 그날부터 즉석 연기로
세상을 줄타기 하네
넘어질 듯 넘어질 듯 줄타기하네
쓰러질 듯 쓰러질 듯 줄타기하네
미움이 넘칠 땐 사랑을 붙잡고
눈물이 넘칠 땐 기쁨을 붙잡고
비바람 부딪치며 살아온 세월
하루가 백년이네
인생은 재방송 안돼
녹화도 안돼
오늘도 나홀로 주인공

인생은 생방송 모노 드라마
되돌릴 수 없는 이야기

태어난 그날부터 숙제를 안고
세상을 줄타기 하네
넘어질 듯 넘어질 듯 줄타기하네
쓰러질 듯 쓰러질 듯 줄타기하네
미움이 넘칠 땐 사랑을 붙잡고
눈물이 넘칠 땐 기쁨을 붙잡고
정으로 부딪치며 살아온 세월
하루가 백년이네
인생은 재방송 안돼
녹화도 안돼
오늘도 나홀로 주인공",트로트
비둘기집,"비둘기처럼 다정한 사람들이라면
장미꽃 넝쿨 우거진
그런 집을 지어요
메아리 소리 해맑은
오솔길을 따라
산새들 노래 즐거운 옹달샘터에
비둘기처럼 다정한 사람들이라면
포근한 사랑 엮어갈
그런 집을 지어요

비둘기처럼 다정한 사람들이라면
장미꽃 넝쿨 우거진
그런 집을 지어요
메아리 소리 해맑은
오솔길을 따라
산새들 노래 즐거운 옹달샘터에
비둘기처럼 다정한 사람들이라면
포근한 사랑 엮어갈
그런 집을 지어요
그런 집을 지어요",트로트
한 잔의 추억,"늦은밤 쓸쓸히 창가에 앉아
꺼져가는 불빛을 바라보면은
어디선가 날 부르는 소리가 들려
취한 눈 크게 뜨고 바라보면은
반쯤 찬 술잔위에 어리는 얼굴
마시자 한잔의 추억
마시자 한잔의 술
마시자 마셔버리자
기나긴 겨울밤을 함께 지내며
소리없는 흐느낌을 서로 달래며
마주치는 술잔위에 흐르던 사연
흔들리는 불빛위에 어리는 모습
그리운 그 얼굴을 술잔에 담네
마시자 한잔의 추억
마시자 한잔의 술
마시자 마셔버리자
어두운 밤거리에 나 홀로 서서
희미한 가로등을 바라보면은
어디선가 날 부르는 소리가 들려
행여하는 마음에 뒤돌아보면
보이는 건 외로운 내 그림자
마시자 한잔의 추억
마시자 한잔의 술
마시자 마셔버리자",트로트
초연,"먼산 부엉이 밤새 울어대고
앞내 물소리 가슴을 적실때
나는 사랑이 무언줄 알았네
그러나 당신은
나를 두고 어딜갔나
아 그대를 기다리네
돌아와요 내게 돌아와요
기다리는 내 사랑

나는 사랑이 무언줄 알았네
그러나 당신은
나를 두고 어딜갔나
아 그대를 기다리네
돌아와요 내게 돌아와요
기다리는 내 사랑",트로트
부모,"낙엽이 우수수 떨어질때
겨울의 기나긴 밤 어머님하고
둘이 앉아 옛이야기 들어라
나는 어쩌면 생겨나와
옛이야기 듣는가
묻지도 말아라 내일날을
내가 부모 되어서 알아보리라

낙엽이 우수수 떨어질때
겨울의 기나긴 밤 어머님하고
둘이 앉아 옛이야기 들어라
나는 어쩌면 생겨나와
옛이야기 듣는가
묻지도 말아라 내일날을
내가 부모 되어서 알아보리라",트로트
암연,"내겐 너무나 슬픈
이별을 말할 때
그댄 아니 슬픈 듯
웃음을 보이다
정작 내가 일어나
집으로 가려할 때는
그땐 꼭 잡은 손을
놓지 않았어

울음을 참으려고
하늘만 보다가
끝내 참지 못하고
내 품에 안겨와
마주 댄 그대 볼에
눈물이 느껴질 때는
나도 참지 못하고
울어 버렸어
사랑이란 것은
나에게 아픔만 주고
내 마음 속에는
멍울로 다가와
우리가 잡으려 하면
이미 먼 곳에
그땐 때가 너무 늦었다는데

차마 어서 가라는
그 말은 못하고
나도 뒤돌아 서서
눈물만 흘리다
이젠 갔겠지 하고
뒤를 돌아보면
아직도 그대는 그 자리

사랑이란 것은
나에게 아픔만 주고
내 마음 속에는
멍울로 다가와
우리가 잡으려 하면
이미 먼 곳에
그땐 때가 너무 늦었다는데

차마 어서 가라는
그 말은 못하고
나도 뒤돌아 서서
눈물만 흘리다
이젠 갔겠지 하고
뒤를 돌아보면
아직도 그대는 그 자리
아직도 그대는 그 자리",트로트
다시 사랑할 수 있다면,"야윈 어깨로 흘러내리는
너무 슬픈 미련 때문에
나 여기까지 그댈 찾아서 왔어요

유리 창 밖엔 바람이 불고
아름다운 연인들끼리
추억 속으로 걸어가는걸 보았죠

너무나 사랑했기 때문에
잊을 수가 없어요
지난날들이 아름다워요
너무나 행복했기 때문에
지울 수가 없어요
이 내 가슴이 멍들어도
그대 꿈속이라도 한번
다시 만나 볼 수 있다면
그대 이 내 영혼을 태워
다시 사랑할 수 있다면

너무나 사랑했기 때문에
잊을 수가 없어요
지난날들이 아름다워요
너무나 행복했기 때문에
지울 수가 없어요
이 내 가슴이 멍들어도
그대 꿈속이라도 한번
다시 만나 볼 수 있다면
그대 이 내 영혼을 태워
다시 사랑할 수 있다면",트로트
맨발의 청춘,"눈물도 한숨도
나 혼자 씹어 삼키며
밤 거리의 뒷골목을
누비고 다녀도
사랑만은 단 하나의
목숨을 걸었다
거리의 자식이라
욕하지 말라
그대를 태양처럼
우러러 보는
사나이 이 가슴을
알아줄 날 있으리라

외롭고 슬프면 하늘만 바라보면서
맨발로 걸어왔네 사나이 험한길을
상처뿐인 이 가슴에 나홀로 달랬네
내버린 자식이라 비웃지 말라
내 생전 처음으로 바친 순정은
머나먼 천국에서 그대 옆에 피어나리
그대 옆에 피어나리",트로트
길,"세월 따라
걸어온 길
멀지는 않았어도
돌아보니 자욱 마다
사연도 많았다오
진달래 피던 길에
첫 사랑 불태웠고
지난 여름 그 사랑에
궂은 비 내렸다오
종달새 노래 따라
한 세월 흘러가도
뭉게 구름 쳐다보며
한 시절 보냈다오
잃어버린 지난 세월
그래도 후회는 없다
겨울로 갈 저 길에는
흰 눈이 내리겠지",트로트
밤안개,"밤안개

작사 이봉조
작곡 번안곡
노래 현 미

밤안개가 가득히 쓸쓸한 밤거리
밤이 새도록 가득히 무심한 밤안개

님 생각에 그림자 찾아 헤매는 마음
밤이 새도록 하염없이 나는 간다

그 옛님을 찾아주려나 가로등이여
밤이 새도록 하염없이 나는 간다",트로트
강남멋쟁이,"네온이 꽃피는 강남의 밤거리
장미 한송이 손에 들고서
노래하는 강남 멋장이
제 아무리 잘난 사람도
어쩌다 두 눈길이 마주 칠때면
느끼는 감정 참을 수 없어
여보세요 한번만 만나 주세요
하면서 미소를 받는 강남 멋장이

사랑이 꽃피는 강남의 밤거리
사랑 가득히 한몸에 안고
노래하는 강남 멋장이
제 아무리 잘난 사람도
어쩌다 스리살짝 미소만 주면
황홀한 기분 감출 수 없어
여보세요 시간 좀 줄 수 있나요
하면서 미소를 받는 강남 멋장이

네온이 꽃피는 강남의 밤거리
장미 한송이 손에 들고서
노래하는 강남 멋장이
제 아무리 잘난 사람도
어쩌다 두 눈길이 마주 칠때면
느끼는 감정 참을 수 없어
여보세요 한번만 만나 주세요
하면서 미소를 받는 강남 멋장이",트로트
엽전 열닷냥,"대장군 잘있거라
다시오마 고향산천
과거보는 한양천리
떠나가는 나그네의

내 낭군 알성급제
천번만번 빌고 빌며
청노새 안장위에 실어 주던
아- 엽전 열닷냥

어젯밤 잠자리에
청룡꿈을 꾸었더라
청노새야 흥겨워라
풍악따라 소리쳐라

금방에 이름걸고
금의환향 그 날에는
무엇을 낭자에게 싸서 가리
아- 엽전 열닷냥 -",트로트
우리에겐,"허전한 마음에 밤길 걸으면
당신의 얼굴이 보여요
텅빈 가슴에 밤길 걸으면
당신의 모습이 보여요
예전 그 모습이
우리가 헤어진건
이미 오랜 얘긴데
당신 생각에 난 가슴 저려요
지난날 기억과 미련도 이제와서
우리에겐 아무런 의미도 아닌데
외롭고 허전한 밤
달빛 마져 차가운데
당신을 향한 미련이
날 슬프게해요
우우우우우우우우우우우
우우우우우우우우
지난날 기억과 미련도 이제와서
우리에겐 아무런 의미도 아닌데
외롭고 허전한 밤
달빛 마져 차가운데
당신을 향한 미련이
날 슬프게해요
우우우우우우우우우우우
우우우우우우우우",트로트
허공,"꿈이었다고 생각하기엔
너무나도 아쉬움 남아
가슴태우며 기다리기엔
너무나도 멀어진 그대
사랑했던 마음도
미워했던 마음도
허공속에 묻어야만 될
슬픈 옛 이야기
스쳐버린 그 날들
잊어야할 그 날들
허공속에 묻힐 그날들

잊는다고 생각하기엔
너무나도 미련이 남아
돌아선 마음 달래보기엔
너무나도 멀어진 그대
설레이던 마음도
기다리던 마음도
허공속에 묻어야만 될
슬픈 옛이야기
스쳐버린 그 약속
잊어야할 그 약속
허공속에 묻힐 그 약속",트로트
위험한 사랑,"나를 사랑한다고 워워
나를 놀리지 마
나이 상관없다고 워워
나는 상관있어
주위의 시선을 봐 워워
우릴 비웃잖아
결혼하자는 말로 워워
나를 울리지마
날 사랑한다고
날 좋아한다고
니 맘은 알지만
우린여기까지야
결혼이 뭐야
구속이 뭐야
지금까지 좋았잖아
지금 이대로
나는 행복해
나를 구속하지마라

그대 나를 원하면 워워
나는 곁에 있어
사랑이라는 말로 워워
나를 붙잡지마
주위의 시선을 봐 워워
우릴 비웃잖아
결혼하자는 말로 워워
나를 울리지마
날 사랑한다고
날 좋아한다고
니 맘은 알지만
우린여기까지야
결혼이 뭐야
구속이 뭐야
지금까지 좋았잖아
지금 이대로
나는 행복해
나를 구속하지마라
날 사랑한다고
날 좋아한다고
니 맘은 알지만
우린여기까지야
결혼이 뭐야
구속이 뭐야
지금까지 좋았잖아
지금 이대로
나는 행복해
나를 구속하지마라",트로트
이별 없는 사랑,"쓸쓸히 떠오른 달아 나도 혼자다
계절이 또 나를 남기면 거리마다 외로움
화사한 배꽃 눈부신 그 숲에 머문다
젊음이란 슬픔일뿐 모두 잊혀져가지
아름다운 사랑 있었네 같이 올수 없었던

눈물처럼 소낙비가 내 마음 울리러 오나
찻잔 앞에 두고 고개를 숙였네
낯선 불빛속에 내가 여기 왜 있나
미칠것 같았던 사랑도 안개 같은것

나는 또 떠나 세상 끝에 있어도
기약 없는 만남을 그리며
오늘도 기다리는 나만의 사람아
이별 없는 세상에서 만났으면 좋겠네

소슬바람 내 곁에 와 그 사람 소식 물으면
빌딩 숲 보이는 강가에 앉아
지금 어디 있나 아득한 그 목소리
불처럼 타올랐던 사랑도 어제 같은데",트로트
여정,"떨어진 꽃잎위에

바람이 불고

쏟아지는 빗소리에

밤은 깊은데

하필이면 이런날

길떠난 사람

잊을 수 있거덜랑

잊어라던 말

나혼자 서글퍼서

잠못 이룰때

창밖을 스쳐가는

저 바람소리

덧 없는 외로움에

나를 재운다



미워도 내 사랑은

그대뿐인데

기다려도 기다려도

안오는 사람

참는나를 달래며

또온다 하더니

그리워 잠이들면

꿈에 나오고

반가워 눈을 뜨면

허전한 마음

그런줄 알면서도

잠못이루네

여인의 안타까운

밤은 깊어라

여인의 안타까운

밤은 깊어라",트로트
사랑했는데,"사랑했는데
서로가 좋아서

사랑했는데
어이 혼자
울어야 하나

여자의 눈물
그 팔에 안기어
꿈꾸던 창가엔
시들은 장미꽃
이 마음 따라우네
사랑했는데
서로가 좋아서

사랑했는데

그 팔에 안기어
꿈꾸던 창가엔
시들은 장미꽃
이 마음 따라우네
사랑했는데
서로가 좋아서

사랑했는데",트로트
꽃비 여인,"사랑의 꽃비내리면 보고픈 추억의 사랑~ 고이 고이 내가슴속에 소중간직한사람~ 사랑의 꽃비 맞으면 뜨겁게 사랑할사람~ 빨간장미 하나를 맞고 사랑을 내게로 주던 이~~ 차가운 술잔을 나를 달래고 고독을 마셔보지만~ 오늘처럼 꽃비내리면 내눈물 감출수 없어~~ 거짓이였나 당신의 약속 그대가 미워 미워요~~ 라랄랄랄랄라 라랄랄랄랄라 ~~ 그대 내사랑 잊질 못하는 그리운 꽃비 여인~~~ 그리운 꽃비 여인~~
사랑의 꽃비내리면 보고픈 추억의 사랑~
고이 고이 내가슴속에 소준간직한사람~
사랑의 꽃비 맞으면 뜨겁게 사랑할사람~
빨간장비 하나를 맞고 사랑을 내게로 주던 이~~
차가운 술잔을 나를 달래고 고독을 마셔보지만~
오늘처럼 꽃비내리면 내눈물 감출수 없어~~
거짓이였나 당신의 약속 그대가 미워 미워요~~
라랄랄랄랄라 라랄랄랄랄라 ~~
그대 나사랑 잊질 못하는 그리운 꽃비 여인~~~
그리운 꽃비 여인~~",트로트
하늘이여,"하얀별 쏟아지는 창밖을 보며
두손모아 촛불켜고 기도하였다네
슬픔에 찬 웃음으로 나를 보낸 님아
사무치는 그리움은 나 어이하나
따뜻한 햇빛에 나 시인되어
슬픈추억 삼키려 홀로 방황했네
내 생애 단한번 그대 사랑하리
하지만 연기처럼 재가 되었네
나의 소원 그대사람 단한번만
다시품고 피어나게 하여주
하 하늘이여 나의 소원 들어주소서
이 이 한세상 나 어이 살아가려오
하 하늘이여 나의 소원 태워주소서
단 단 한번만 내 사랑 피어나게 하여주

나의 소원 그대사람 단한번만
다시품고 피어나게 하여주
하 하늘이여 나의 소원 들어주소서
이 이 한세상 나 어이 살아가려오
하 하늘이여 나의 소원 태워주소서
단 단 한번만 내 사랑 피어나게 하여주
하 하늘이여 나의 소원 태워주소서
단 단 한번만 내 사랑 피어나게 하여주",트로트
촛불켜는 밤,"나 이밤 그댈 잊지못해
촛불을 켭니다
내 창가에 예쁜 촛불을
그대 보시나요
안개낀 밤 나는 그대 그리워
촛불을 켭니다
지쳐버린 내 마음을
그댄 아시나요
그대 향한 나의 사랑은
내나이 너무 어려서
그대 웃음 바람따라
바람따라 지나갔나요
낮은 목소리로 노랠부르면
그대 오시나요
내 두눈에 눈물 고이면
그대 오시나요

간 주 중 ♪

그대 향한 나의 사랑은
내나이 너무 어려서
그대 웃음 바람따라
바람따라 지나갔나요
낮은 목소리로 노랠부르면
그대 오시나요
내 두눈에 눈물 고이면
그대 오시나요
촛불 켜는 밤에
그대 오시나요

-(기다림의행복)-",트로트
내 사랑 간장게장,"간장게장 간장게장
밥도둑 맘 도둑 내 사랑 간장게장
그만둬야 하는데 멈출 수가 없는데
눈에 아른거리는 잊을 수 없는 너야
돌아서야 하는데 놓을 수가 없는데
눈에 아른거리는 잊지 못할 너야
내 맘대로 되는 게 사랑이더냐
아찔한 그 향기에 깊게 젖어버린 나
당신은 나의 간장게장
내 맘속 뜨신 밥을 앗아가네
당신은 내 맘 송두리째
내 맘 다 가져간 사람
밥도둑 맘 도둑
나만을 사랑해 준다면
밥도둑 맘 도둑 내 사랑 간장게장
밥도둑
그만두고 싶은데 딱 멈추고 싶은데
눈에 아른거리는 잊지 못할 너야
돌아서고 싶은데 놓아주고 싶은데
내 입가에 맴도는 감칠맛 나는 너야
내 맘대로 되는 게 사랑이더냐
손끝에 그 향기가 깊게 베어버린 나
당신은 나의 간장게장
내 맘속 뜨신 밥을 앗아가네
당신은 내 맘 송두리째
내 맘 다 가져간 사람
밥도둑 맘 도둑
나만을 사랑해 준다면
밥도둑 맘 도둑 내 사랑 간장게장
밥도둑 맘 도둑 내 사랑 간장게장
간장게장",트로트
남자라는 이유로,"누구나 웃으면서 세상을 살면서도
말 못할 사연 숨기고 살아도
나 역시 그런저런 슬픔을 간직하고
당신 앞에 멍하니 서 있네
언제 한 번 가슴을 열고 소리내어
소리내어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길었어
저마다 처음인듯 사랑을 하면서도
쓰라린 이별 숨기고 있어도
당신도 그런저런 과거가 있겠지만
내 앞에서는 미소를 짓네
언제 한번 가슴을 열고 소리내어
소리내어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길어요",트로트
나야 나 (원곡가수 남진),"바람이 분다 길가에 목롯집
그냥 가긴 서운하잖아
나 한 잔 자네 한 잔 권커니
한 번은 내 세상도 오겠지
아자
내가 뭐 어때서 나 건들지 마
운명아 비켜라
이 몸께서 행차하신다
때로는 깃털처럼 휘날리며
때로는 먼지처럼 밟히며
아자
하루를 살아냈네
나야 나야 나
나야 나야 나
밤늦은 골목길 외쳐보아도
젖은 그림자 바람에 밀리고
거리엔 흔들리는 발자국
어둠은 내리고 바람찬데
아자 괜찮아 나 정도면
나 건들지 마 운명아 비켜라
이 몸께서 행차하신다
때로는 깃털처럼 휘날리며
때로는 먼지처럼 밟히며
아자
하루를 살아냈네
나야 나야 나
나야 나야 나
밤늦은 골목길 외쳐보아도
젖은 그림자 바람에 밀리고
거리엔 흔들리는 발자국
어둠은 내리고 바람찬데
아자 괜찮아 나 정도면
아자 괜찮아 나 정도면",트로트
너 너 너,"사랑이 무언지 미움이 무언지 모르던 나에게
나의 모든 마음 앗아 가버린 너를 알고 부터

만남의 기쁨도 이별의 슬픔도 모르는 나에게
나의 모든 마음 남기고 가버린 너를 알고부터

이젠 서로 남이 되어버린 너의 모습을
미워할 수도 없었던 지난 추억이지

어쩔수 없었던 이별 이었다고 생각을 해보면
잊어야지 해도 다시 생각나는 너 너 너

사랑이 무언지 미움이 무언지 모르던 나에게
나의 모든 마음 앗아 가버린 너를 알고부터

만남의 기쁨도 이별의 슬픔도 모르던 나에게
나의 모든 마음 남기고 가버린 너를 알고부터

이젠 서로 남이 되어버린 너의 모습을
미워 할수도 없었던 지난 추억이지

어쩔수 없었던 이별 이었다고 생각을 해보면
잊어야지 해도 다시 생각나는 너 너 너.",트로트
모르나봐,"모르나봐 모르나봐
내 마음을 모르시나봐
빨간 립스틱 바른 이유
립스틱을 바른 이유를
모르나 봐 모르나 봐
정말로 모르시나 봐
빨간 메니큐어 바른 이유
메니큐어 바른 이유를
어떻게 말로하나
지금 내 심정을
어떻게 표현하나
이 내 마음을
살며시 내 손을 잡아준다면
애인이 되어줄텐데
모르나봐 모르나봐
정말로 모르시나봐
모르나봐 모르나봐
내 마음을 모르시나봐
빨간 립스틱 바른 이유
립스틱을 바른 이유를
모르나봐 모르나봐
정말로 모르시나봐
빨간 메니큐어 바른 이유
메니큐어 바른 이유를
어떻게 말로하나
지금 내 심정을
어떻게 표현하나
이내 마음을
살며시 내 손을 잡아준다면
애인이 되어줄텐데
모르나 봐 모르나 봐
정말로 모르시나 봐
정말로 모르시나 봐",트로트
왔구나 왔어 (Rock Ver.),"왔어 왔어요
사랑이 왔어요
매일같이 오는 사람 아니예요
여기 왔어요
내 앞에 왔어요
오 정말 잡고 싶어요
왔어 왔어요
드디어 왔어요
내일이면 떠날지도 모르는 걸
오늘이 아니면 놓칠지 몰라요
오 당장 잡아 볼까요
사랑은 늘 예고없이 찾아온대요
첫눈에 난 반해버렸죠
어떡하면 내 사람 만들까 오오
왔구나 오 니가 왔어
오래 기다렸던 나의 사랑이다 오오
왔구나 오 니가 왔어
나의 이 마음을 훔쳐 버렸구나 오오
어허허어야
왔구나 왔어요 오오
어허허어야
왔구나 왔어요 오오
이 사랑을 놓친다면 후회할걸요
이리저리 둘러보아도
이런 남자 찾을 수 없어요 오오
왔구나 오 니가 왔어
오래 기다렸던 나의 사랑이다 오오
왔구나 오 니가 왔어
나의 이 마음을 훔쳐 버렸구나 오오
어허허어야
왔구나 왔어요
어허허어야
왔구나 왔어요
왔구나 내 안에 왔어
내게 빠졌구나
나의 사랑이다 오오
왔구나 내 안에 왔어
완전 빠졌구나
나의 남자로다 오오
어허허어야
왔구나 왔어요 오오
어허허어야
왔구나 왔어요 오오",트로트
님 그림자,"저만치
앞서가는
님 뒤로
그림자
길게 드린밤
님의
그림자
밟으려
하니
서러움이
가슴에
이네
님은
나의 마음
헤아릴까
별만
헤득허는밤
위험한
달빛아래
님 뒤로
긴 그림자
밟을날
없네
저만치
앞서가는
님 뒤로
그림자
길게 드린밤
님의
그림자
밟으려 하니
서러움이
가슴에 이네
님은
나의 마음
헤아릴까
별만
헤득허는밤
위험한
달빛아래
님뒤로
긴 그림자
밟을날 없네",트로트
무슨 사랑,"다 거짓말이야
모두 다 거짓말이야
여린 내 가슴에 속삭이던 말도
모두 다 거짓말이야
내 가슴에 아픈
상처 주고 갈 거면서
저만 혼자 달아날 거면서
사랑은 무슨 사랑 철없던 불장난
사랑한다 했니
영원하자 했니
이 나쁜 거짓쟁이야
다 거짓말이야
모두 다 거짓말이야
손가락 걸었던 그때 그 맹세도
모두 다 거짓말이야
내 가슴에 깊은
멍을 남겨 놓을 거면서
저만 혼자 도망갈 거면서
사랑은 무슨 사랑 엉터리 풋사랑
다신 못 만나니 영영 이별이니
이 몹쓸 거짓쟁이야",트로트
하늘 땅 만큼,"하늘만큼 땅만큼
사랑합니다
이 세상 누구보다 더
내 인생의 문을
열어 준그대
당신을 사랑합니다
마른꽃잎에 비를 적시고
어둠속에 빛이 된 당신
바람같은 그대
햇살같은 그대
행복을 내게 준 사람
하늘땅만큼 사랑합니다
당신을 사랑합니다
태양처럼 아이처럼
사랑합니다
내 인생 모두걸고서
조건없는 사랑
내게 준 그대
당신을 사랑합니다
마른 꽃잎에 비를 적시고
어둠속에 빛이 된 당신
바람같은 그대
햇살같은 그대
행복을 내게 준 사람
하늘 땅만큼 사랑합니다
당신을 사랑합니다
하늘 땅만큼 사랑합니다
당신을 사랑합니다",트로트
남자의 인생,"무엇을 얻었는가
돈인가 사랑인가
명예이던가
사나이 인생길을
거침없이 오늘도 살아간다
아파할 것도 눈물 흘릴것도 없다
남자의 인생이니까
가슴에 흐르는 눈물 삼키고
다시 사는거야
태양은 나를 향해 떠오를테니
두주먹 불끈쥔다

무엇을 남겼는가
꿈인가 행복인가
부귀이던가
사나이 인생길을
거침없이 내일도 살아간다
슬퍼 할것도 후회 할것도 없다
남자의 인생이니까
세월의 아픈길을
이를 악물고 살아왔던거야
태양은 내일 다시 떠오를테니
오늘도 나는 간다
두 주먹 불끈쥔다",트로트
당신이 좋아,"그대는 내 사랑 당신도 내 사랑
이 세상에 그 무엇도 쨉이 안 되지
원앙이 따로 있나 우리가 원앙이지
환상의 해피한 원앙이지
아 꿀맛 같은 그대 사랑에
내 인생을 걸었잖아
비가 와도 좋아 눈이 와도 좋아
바람 불어도 좋아
좋아 좋아 당신이 좋아
그대는 내 운명 당신도 내 운명
하늘 아래 누가 와도 쨉이 안 되지
그대는 꽃 중에 꽃 당신은 벌 나비
환상의 해피한 꽃과 나비지
아 꿀맛 같은 그대 사랑에
내 인생을 걸었잖아
비가 와도 좋아 눈이 와도 좋아
바람 불어도 좋아
좋아 좋아 당신이 좋아
아 꿀맛 같은 그대 사랑에
내 인생을 걸었잖아
비가 와도 좋아 눈이 와도 좋아
바람 불어도 좋아
좋아 좋아 당신이 좋아
좋아 좋아 당신이 좋아",트로트
태종대의 밤,"밤비는 하염없이 내 가슴을
적시는데 그 누구를 찾아왔는가
태종대의 밤은 깊은데 끝없이
밀려오는 파도가 삼킨 첫사랑
잊는다 잊으리라 다짐을 해도
자꾸만 떠오른 얼굴
밤비는 부슬 부슬 내 가슴을
적시는데 그누구를 못 잊어왔나
태종대의 밤은 깊은 데 끝없이
부서지는 파도가 삼킨 첫사랑
잊는다 잊으리라 다짐을 해도
애꿎은 눈물 콘물 끝없이
밀려오는 파도가 삼킨 첫사랑
잊는다 잊으리라 다짐을 해도
자꾸만 떠오른 얼굴",트로트
당신 만나길 잘했어,"입가에 미소 짓게 만든 첫눈에
반한 당신
인생에 절반을 채워 주는 당신
만나기를 잘했어
사랑으로 가슴 멍들어도 난 당신
밖에 몰라요
인생의 절반을 채워 주는 당신
만나기를 잘했어
너를 사랑 하기엔 내가슴이
너무 작을 지도 몰라
이런 나를 좋아 할수 있나요
이런 나를 사랑 할수 있나요
눈을 뜨면 더행복한 또하루
첨 만난 날을 기억 하나요
사랑해 고마워 두마디면 내삶은
천국 같죠
인생의 절반을 채워 주는 당신
만나기를 잘했어
입가에 미소 짓게 만든 첫눈에
반한 당신
인생에 절반을 채워 주는 당신
만나기를 잘했어
사랑으로 가슴 멍들어도 난 당신
밖에 몰라요
인생의 절반을 채워 주는 당신
만나기를 잘했어
너를 사랑 하기엔 내가슴이
너무 작을 지도 몰라
이런 나를 좋아 할수 있나요
이런 나를 사랑 할수 있나요
눈을 뜨면 더행복한 또하루
첨 만난 날을 기억 하나요
사랑해 고마워 두마디면 내삶은
천국 같죠
인생의 절반을 채워 주는 당신
만나기를 잘했어
이런 나를 좋아 할수 있나요
이런 나를 사랑 할수 있나요
눈을 뜨면 더행복한 또하루
첨 만난 날을 기억 하나요
사랑해 고마워 두마디면 내삶은
천국 같죠
인생의 절반을 채워 주는 당신
만나기를 잘했어",트로트
내고향 여수,"내 고향 남쪽 바다
동백꽃이 곱게 필 때면
바람도 구름도 쉬어가는 곳
살기 좋은 여수랍니다
아 그리워라 내자란 고향
어머님도 안녕하신지
눈감으면 달려간다
내 고향으로
아 여수항아
내 사랑도 잘 있느냐
내 고향 남쪽 바다
동백꽃이 곱게 필 때면
바람도 구름도 쉬어가는 곳
살기 좋은 여수랍니다
아 그리워라 내자란 고향
어머님도 안녕하신지
눈감으면 달려간다
내 고향으로
아 여수항아
내 사랑도 잘 있느냐
내 사랑도 잘 있느냐",트로트
